Year,Section,QNo,Part,MaxMark,TopicID,SubTopic,PaperURL,QID
2024,A1,1,,3,SS01,,,2024-A1-Q1
2024,A1,2,,3,JS01,,,2024-A1-Q2
2024,A1,3,,4,SS04,,,2024-A1-Q3
2024,A1,4,,4,JS03,,,2024-A1-Q4
2024,A1,5,,4,SS10,,,2024-A1-Q5
2024,A1,6,,4,JS05,,,2024-A1-Q6
2024,A1,7,,4,SS06,,,2024-A1-Q7
2024,A1,8,,4,JS07,,,2024-A1-Q8
2024,A1,9,,5,SS17,,,2024-A1-Q9
2024,A2,10,a,2,SS02,,,2024-A2-Q10a
2024,A2,10,b,4,SS02,,,2024-A2-Q10b
2024,A2,11,a,3,SS14,,,2024-A2-Q11a
2024,A2,11,b,4,SS14,,,2024-A2-Q11b
2024,A2,12,a,3,SS17,,,2024-A2-Q12a
2024,A2,12,b,4,SS16,,,2024-A2-Q12b
2024,A2,13,a,3,SS11,,,2024-A2-Q13a
2024,A2,13,b,4,SS11,,,2024-A2-Q13b
2024,A2,14,a,4,SS07,,,2024-A2-Q14a
2024,A2,14,b,4,SS07,,,2024-A2-Q14b
2024,B,15,a,3,SS15,,,2024-B-Q15a
2024,B,15,b,4,SS16,,,2024-B-Q15b
2024,B,16,a,3,SS03,,,2024-B-Q16a
2024,B,16,b,4,SS03,,,2024-B-Q16b
2024,B,17,a,4,SS14,,,2024-B-Q17a
2024,B,17,b,4,SS14,,,2024-B-Q17b
2024,B,18,a,3,SS13,,,2024-B-Q18a
2024,B,18,b,4,SS13,,,2024-B-Q18b
2024,B,19,a,3,SS08,,,2024-B-Q19a
2024,B,19,b,3,SS08,,,2024-B-Q19b




Year,Section,QNo,Part,MaxMark,TopicID,SubTopic,PaperURL,QID
2022,A1,1,,3,SS05,,,2022-A1-Q1
2022,A1,2,,3,SS05,,,2022-A1-Q2
2022,A1,3,,3,SS04,,,2022-A1-Q3
2022,A1,4,,4,SS04,,,2022-A1-Q4
2022,A1,5,,4,JS01,,,2022-A1-Q5
2022,A1,6,,4,SS08,,,2022-A1-Q6
2022,A1,7,,4,JS06,,,2022-A1-Q7
2022,A1,8,,5,JS05,,,2022-A1-Q8
2022,A1,9,,5,SS17,,,2022-A1-Q9
2022,A2,10,a,3,SS06,,,2022-A2-Q10a
2022,A2,10,b,1,SS06,,,2022-A2-Q10b
2022,A2,10,c,2,SS06,,,2022-A2-Q10c
2022,A2,11,a,3,SS17,,,2022-A2-Q11a
2022,A2,11,b,4,SS17,,,2022-A2-Q11b
2022,A2,12,a,3,SS13,,,2022-A2-Q12a
2022,A2,12,b,4,SS13,,,2022-A2-Q12b
2022,A2,13,a,3,JS03,,,2022-A2-Q13a
2022,A2,13,b,4,JS03,,,2022-A2-Q13b
2022,A2,14,a,3,SS04,,,2022-A2-Q14a
2022,A2,14,b,2,SS04,,,2022-A2-Q14b
2022,A2,14,c,3,SS04,,,2022-A2-Q14c
2022,B,15,a,2,SS15,,,2022-B-Q15a
2022,B,15,b,2,SS16,,,2022-B-Q15b
2022,B,16,a,2,SS02,,,2022-B-Q16a
2022,B,16,b,3,SS02,,,2022-B-Q16b
2022,B,17,a,3,SS07,,,2022-B-Q17a
2022,B,17,b,4,SS07,,,2022-B-Q17b
2022,B,18,a,4,SS14,,,2022-B-Q18a
2022,B,18,b,3,SS14,,,2022-B-Q18b
2022,B,19,a,2,SS13,,,2022-B-Q19a
2022,B,19,b,3,SS13,,,2022-B-Q19b
2022,B,19,c,4,SS13,,,2022-B-Q19c
2022,B,19,d,3,SS13,,,2022-B-Q19d
